20180327 124040.021|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Wed Jan 28 11:57:00 MST 1970
20180327 124040.021|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Wed Jan 28 11:58:00 MST 1970
20180327 124040.021|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Wed Jan 28 11:59:00 MST 1970
20180327 124040.021|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Wed Jan 28 12:00:00 MST 1970
20180327 124040.022|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Wed Jan 28 12:01:00 MST 1970
20180327 124040.022|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Wed Jan 28 12:02:00 MST 1970
20180327 124040.022|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Wed Jan 28 12:03:00 MST 1970
20180327 124040.022|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Wed Jan 28 12:04:00 MST 1970
20180327 124040.022|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Wed Jan 28 12:05:00 MST 1970
20180327 124040.023|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Wed Jan 28 12:06:00 MST 1970
20180327 124040.023|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 124040.023|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 124040.023|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 124040.023|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 124040.023|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 124040.023|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 124040.023|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 124040.023|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 124040.024|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 124040.024|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 124108.950|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 124108.953|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 124108.954|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 124108.954|main|INFO |x.ths.DbWorker |getTradingMinutes#22| base : 1522176068954
20180327 124108.954|main|INFO |x.ths.DbWorker |getTradingMinutes#24| base after mod: 1522176060000
20180327 124108.956|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176060000
20180327 124108.956|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176120000
20180327 124108.957|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176180000
20180327 124108.957|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176240000
20180327 124108.957|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176300000
20180327 124108.957|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176360000
20180327 124108.957|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176420000
20180327 124108.958|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176480000
20180327 124108.958|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176540000
20180327 124108.958|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522176600000
20180327 124108.959|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 124108.959|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Tue Mar 27 12:41:00 MDT 2018
20180327 124108.959|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Tue Mar 27 12:42:00 MDT 2018
20180327 124108.959|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Tue Mar 27 12:43:00 MDT 2018
20180327 124108.960|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Tue Mar 27 12:44:00 MDT 2018
20180327 124108.960|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Tue Mar 27 12:45:00 MDT 2018
20180327 124108.960|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Tue Mar 27 12:46:00 MDT 2018
20180327 124108.960|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Tue Mar 27 12:47:00 MDT 2018
20180327 124108.960|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Tue Mar 27 12:48:00 MDT 2018
20180327 124108.961|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Tue Mar 27 12:49:00 MDT 2018
20180327 124108.961|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Tue Mar 27 12:50:00 MDT 2018
20180327 124108.961|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 124108.961|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 124108.961|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 124108.961|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 124108.962|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 124108.962|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 124108.962|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 124108.962|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 124108.962|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 124108.962|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 133458.117|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 133458.137|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 133458.138|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 133458.138|main|INFO |x.ths.DbWorker |getTradingMinutes#22| base : 1522179298138
20180327 133458.138|main|INFO |x.ths.DbWorker |getTradingMinutes#24| base after mod: 1522179240000
20180327 133458.140|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179240000
20180327 133458.140|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179300000
20180327 133458.140|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179360000
20180327 133458.141|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179420000
20180327 133458.141|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179480000
20180327 133458.141|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179540000
20180327 133458.141|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179600000
20180327 133458.141|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179660000
20180327 133458.142|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179720000
20180327 133458.142|main|INFO |x.ths.DbWorker |getTradingMinutes#28| curr : 1522179780000
20180327 133458.142|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 133458.143|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Tue Mar 27 13:34:00 MDT 2018
20180327 133458.143|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Tue Mar 27 13:35:00 MDT 2018
